"Date" "S.P.500.COMPOSITE...PRICE.INDEX" "X3M" "ABBOTT.LABORATORIES" "ALCOA" "ALTRIA.GROUP" "AMER.ELEC.PWR." "AMERICAN.EXPRESS" "APPLE" "AVON.PRODUCTS" "BANK.OF.AMERICA" "BAXTER.INTL." "BOEING" "BRISTOL.MYERS.SQUIBB" "CVS.CAREMARK" "CAMPBELL.SOUP" "CATERPILLAR" "CHEVRON" "COCA.COLA" "COLGATE.PALM." "COMCAST..A." "CONOCOPHILLIPS" "DOW.CHEMICAL" "E.I.DU.PONT.DE.NEMOURS" "ENTERGY" "EXELON" "EXXON.MOBIL" "FEDEX" "FORD.MOTOR" "GENERAL.DYNAMICS" "GENERAL.ELECTRIC" "HALLIBURTON" "HJ.HEINZ" "HEWLETT.PACKARD" "INTEL" "INTERNATIONAL.BUS.MCHS." "JP.MORGAN.CHASE...CO." "JOHNSON...JOHNSON" "LOWE.S.COMPANIES" "MCDONALDS" "MEDTRONIC" "MERCK...CO." "NIKE..B." "OCCIDENTAL.PTL." "PEPSICO" "PFIZER" "PROCTER...GAMBLE" "RAYTHEON..B." "SARA.LEE" "SCHLUMBERGER" "SOUTHERN" "SPRINT.NEXTEL" "TARGET" "TEXAS.INSTS." "BANK.OF.NEW.YORK.MELLON" "UNITED.TECHNOLOGIES" "WAL.MART.STORES" "WALGREEN" "WALT.DISNEY" "WELLS.FARGO...CO" "WEYERHAEUSER" "WILLIAMS.COS." "XEROX"
"11" "1995/1/16" 6.151412675 3.243424037 2.705653999 2.40356101 1.496314006 3.537329556 2.17774723 2.409194828 1.963609726 2.495269437 2.492924421 3.193558017 2.636647285 1.939403311 3.008875521 2.658950989 3.093879335 3.231298345 2.708050201 1.581634968 2.732742814 3.139109412 3.343303403 3.157000421 2.535678975 2.720472721 2.734770026 2.356571258 2.392197252 2.171336806 2.095597823 3.150618397 2.331813744 1.448752595 2.963983575 2.561736509 2.616483008 1.534843668 2.691243083 1.936941479 2.895967185 2.211017899 2.270836395 2.767783445 1.858903967 2.749166552 3.48316132 2.379999735 2.427833526 2.514562535 2.218670733 1.760010771 1.533161437 2.117976924 2.087223682 2.380702872 1.746483124 2.751262936 1.796945996 3.701301974 2.055737815 2.882137953
"12" "1995/1/17" 6.152839072 3.241071665 2.713435673 2.387900032 1.492004816 3.533686565 2.181874025 2.420368129 1.952587804 2.455846806 2.510947946 3.211347558 2.645117501 1.939403311 3.020605358 2.678449731 3.107944264 3.236224463 2.70387483 1.573541268 2.744864174 3.142715903 3.352094669 3.16758253 2.560130071 2.730711484 2.748872196 2.347912125 2.40637738 2.159384244 2.117339265 3.153829441 2.330628184 1.432103897 2.963983575 2.548796523 2.621038824 1.548221866 2.678449731 1.952587804 2.902481472 2.207592863 2.29631548 2.782118172 1.865366125 2.753125537 3.485078866 2.379999735 2.447299967 2.514562535 2.227635228 1.749199855 1.521284065 2.093788135 2.079441542 2.374905755 1.749199855 2.751262936 1.786529148 3.688879454 2.040921583 2.873937451
"13" "1995/1/18" 6.152136772 3.241071665 2.70174369 2.402149846 1.492004816 3.537329556 2.185983859 2.434165834 1.943679091 2.455846806 2.497460848 3.203762187 2.647230977 1.927717083 3.011817214 2.684870277 3.127308631 3.228826156 2.686996792 1.565381526 2.768674823 3.146305132 3.360809321 3.157000421 2.560130071 2.742857343 2.758819358 2.330365616 2.411995397 2.164184723 2.131571361 3.157030208 2.342449829 1.466929201 2.960752555 2.535678975 2.618759866 1.548221866 2.674148649 1.945910149 2.902481472 2.20414502 2.302585093 2.767783445 1.890850372 2.731148047 3.486992742 2.365109086 2.449702526 2.502214337 2.205060463 1.751006917 1.538221141 2.05636481 2.085286924 2.363209715 1.754611274 2.743352993 1.781288169 3.688879454 2.112888407 2.853730825
"14" "1995/1/19" 6.146222186 3.229237952 2.709555734 2.390769948 1.474488372 3.526360525 2.17774723 2.439630305 1.95037161 2.442347035 2.497460848 3.183248647 2.643006664 1.915877949 3.002956119 2.616483008 3.127308631 3.236224463 2.684863454 1.54883829 2.764745545 3.131865902 3.358637767 3.146305132 2.535678975 2.742857343 2.762778257 2.303454715 2.40637738 2.139960276 2.138618057 3.157030208 2.3459702 1.485687105 2.95099638 2.519042341 2.611906341 1.514445682 2.665490587 1.961417852 2.892691288 2.191999841 2.290006311 2.764165849 1.886114648 2.727094371 3.479315161 2.365109086 2.461646552 2.508411565 2.214158169 1.749199855 1.536523074 2.04784767 2.077489638 2.357309993 1.743741507 2.730039977 1.776002647 3.676300672 2.098900973 2.864478286
"15" "1995/1/20" 6.141564175 3.236358115 2.709555734 2.376355865 1.481081677 3.530030254 2.173614712 2.366151267 1.954799096 2.439630305 2.483789359 3.170210653 2.638771575 1.927717083 2.981967979 2.576900731 3.140914283 3.236224463 2.684863454 1.54883829 2.772588722 3.120896887 3.347708697 3.140914283 2.545531272 2.752864217 2.748872196 2.261690179 2.395045762 2.139960276 2.142122871 3.137674446 2.329441217 1.458801052 2.936178641 2.502116048 2.611906341 1.521284065 2.678449731 1.967993088 2.882809906 2.19548974 2.283657083 2.760535119 1.886114648 2.723030763 3.494611826 2.360098999 2.47110349 2.520683941 2.214158169 1.747389521 1.526404069 2.039270377 2.081389643 2.363209715 1.741009887 2.743352993 1.77070606 3.676300672 2.112888407 2.850122516
"16" "1995/1/23" 6.143777826 3.233989043 2.732632238 2.377813152 1.509197599 3.526360525 2.16945362 2.357309993 1.954799096 2.431417965 2.479198724 3.164947483 2.640891361 1.91189529 2.99101617 2.579269411 3.138207922 3.236224463 2.686996792 1.540473612 2.795755782 3.096708191 3.338878617 3.135494216 2.555287447 2.768674823 2.742850904 2.256938981 2.386466577 2.125155551 2.135100916 3.137674446 2.321073131 1.481240838 2.921143417 2.522387067 2.636819112 1.531476371 2.686996792 1.970170613 2.886112701 2.217843865 2.290006311 2.771388002 1.893985076 2.733165489 3.496507561 2.344906762 2.468751861 2.520683941 2.205060463 1.740097686 1.507538068 2.04784767 2.081389643 2.374905755 1.741009887 2.735386471 1.796945996 3.663561646 2.112888407 2.860908618
"17" "1995/1/24" 6.14388516 3.222070716 2.740207566 2.360268924 1.502787677 3.526360525 2.16945362 2.342411392 1.961417852 2.436897431 2.479198724 3.172831886 2.640891361 1.91189529 2.988007514 2.586357031 3.140914283 3.22634784 2.684863454 1.532038375 2.772588722 3.100466093 3.349904087 3.140914283 2.564949357 2.748872196 2.732742814 2.23770518 2.389331435 2.127636291 2.138618057 3.150618397 2.332997899 1.497097539 2.917770732 2.532370538 2.623305345 1.534843668 2.699681951 1.995978408 2.882809906 2.202422158 2.29631548 2.778552156 1.890850372 2.731148047 3.494611826 2.344906762 2.461646552 2.514562535 2.214158169 1.743758993 1.509263923 2.052108885 2.079441542 2.380702872 1.738270784 2.753883617 1.791759469 3.66035137 2.122105838 2.863291714
"18" "1995/1/25" 6.147270998 3.217262524 2.751467226 2.371999209 1.504921485 3.533686565 2.16945362 2.326897145 1.961417852 2.455846806 2.497460848 3.148989697 2.643006664 1.903896969 2.997006461 2.595724746 3.154337304 3.231298345 2.689125588 1.532038375 2.784239339 3.085344432 3.352094669 3.157000421 2.56974553 2.752864217 2.752864217 2.252165101 2.389331435 2.135053622 2.15945348 3.157030208 2.31020598 1.488331862 2.895563811 2.542255323 2.616483008 1.551533338 2.699681951 1.99385642 2.892691288 2.211017899 2.290006311 2.792740553 1.889279327 2.745185408 3.496507561 2.339794169 2.487445092 2.520683941 2.218670733 1.749199855 1.484803963 2.064797337 2.085286924 2.386466577 1.762691047 2.732716797 1.802122256 3.676300672 2.122105838 2.850122516
"19" "1995/1/26" 6.149151823 3.231618294 2.743970602 2.357309993 1.517695361 3.530030254 2.165275142 2.290006311 1.967993088 2.466513529 2.497460848 3.132773126 2.653523615 1.907911546 2.999983225 2.598049306 3.146305132 3.253277252 2.693356103 1.565381526 2.791931685 3.066111517 3.33220451 3.151667075 2.56974553 2.758825695 2.728669488 2.223033098 2.389331435 2.139960276 2.162874649 3.160220762 2.299219436 1.482127132 2.895563811 2.535678975 2.636819112 1.538199665 2.732742814 2.000208922 2.905720035 2.20586492 2.321161479 2.796250316 1.903345566 2.749166552 3.502173299 2.379999735 2.487445092 2.526760112 2.214158169 1.752810719 1.468749541 2.085585131 2.10070144 2.392197252 1.77070606 2.743352993 1.802122256 3.666761649 2.131239084 2.853730825
"20" "1995/1/27" 6.153562138 3.214851739 2.773606954 2.315007613 1.5427424 3.548179572 2.17774723 2.299460216 1.970170613 2.471804524 2.524247548 3.130044611 2.659776903 1.903896969 3.008875521 2.579269411 3.140914283 3.265282198 2.736799614 1.573541268 2.788092909 3.038552271 3.305053521 3.157000421 2.583997552 2.748872196 2.732742814 2.223033098 2.395045762 2.130110891 2.162874649 3.169727597 2.30777162 1.490091155 2.897292201 2.558521048 2.658943987 1.551533338 2.780370863 2.006534771 2.908953597 2.212726029 2.302585093 2.817083962 1.906456266 2.776562068 3.494611826 2.384911345 2.48975322 2.532799586 2.249711603 1.749199855 1.49886383 2.101912175 2.094945728 2.420368129 1.77070606 2.804916745 1.807255451 3.650658241 2.131239084 2.852531425
